Timestamp	Filename	Error	Message
2021-05-26 23:24:30.918 +0300	Yeni Hesap Aç::8::Insert from URL::Field	10	Attribute “id” missing.
2021-05-26 23:24:30.918 +0300	Yeni Hesap Aç	0	script steps imported : 5
2021-05-26 23:24:30.919 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 23:26:36.290 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 23:26:36.293 +0300	Yeni Hesap Aç::9::Insert from URL::Field	10	Attribute “id” missing.
2021-05-26 23:26:36.294 +0300	Yeni Hesap Aç	0	script steps imported : 6
2021-05-26 23:26:36.294 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 23:28:37.418 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 23:28:37.419 +0300	Yeni Hesap Aç	0	script steps imported : 1
2021-05-26 23:28:37.419 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 23:29:48.532 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 23:29:48.534 +0300	Yeni Hesap Aç::13::Insert from URL::Field	10	Attribute “id” missing.
2021-05-26 23:29:48.535 +0300	Yeni Hesap Aç	0	script steps imported : 1
2021-05-26 23:29:48.535 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 23:35:16.870 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 23:35:16.872 +0300	Yeni Hesap Aç	0	script steps imported : 1
2021-05-26 23:35:16.873 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 23:42:41.131 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 23:42:41.133 +0300	Yeni Hesap Aç	0	script steps imported : 1
2021-05-26 23:42:41.134 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 23:50:11.514 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 23:50:11.516 +0300	Yeni Hesap Aç	0	script steps imported : 1
2021-05-26 23:50:11.517 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 23:56:38.618 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 23:56:38.620 +0300	Yeni Hesap Aç	0	script steps imported : 1
2021-05-26 23:56:38.621 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 23:57:38.857 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 23:57:38.859 +0300	Yeni Hesap Aç	0	script steps imported : 1
2021-05-26 23:57:38.860 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 23:57:46.868 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 23:57:46.871 +0300	Yeni Hesap Aç	0	script steps imported : 1
2021-05-26 23:57:46.872 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 23:58:24.511 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 23:58:24.513 +0300	Yeni Hesap Aç	0	script steps imported : 1
2021-05-26 23:58:24.513 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 23:59:04.642 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 23:59:04.645 +0300	Yeni Hesap Aç::46::Insert from URL::Field	10	Attribute “id” missing.
2021-05-26 23:59:04.645 +0300	Yeni Hesap Aç	0	script steps imported : 3
2021-05-26 23:59:04.646 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-27 00:00:37.822 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-27 00:00:37.825 +0300	Yeni Hesap Aç::48::Insert from URL::Field	10	Attribute “id” missing.
2021-05-27 00:00:37.826 +0300	Yeni Hesap Aç	0	script steps imported : 4
2021-05-27 00:00:37.826 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-27 00:16:48.104 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-27 00:16:48.106 +0300	Yeni Hesap Aç	0	script steps imported : 1
2021-05-27 00:16:48.107 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-27 00:17:09.293 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-27 00:17:09.295 +0300	Yeni Hesap Aç::45::Insert from URL::Field	10	Attribute “id” missing.
2021-05-27 00:17:09.296 +0300	Yeni Hesap Aç	0	script steps imported : 6
2021-05-27 00:17:09.296 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-27 00:17:12.169 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-27 00:17:12.171 +0300	Yeni Hesap Aç	0	script steps imported : 1
2021-05-27 00:17:12.172 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-27 00:17:23.446 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-27 00:17:23.449 +0300	InvoiceSeparate	0	script steps imported : 1
2021-05-27 00:17:23.450 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-06-01 17:47:01.235 +0300	ETRMUSAVIR.fmp12	0	Import operations started
2021-06-01 17:47:01.238 +0300	ETRMUSAVIR.fmp12	0	Import of fields from clipboard started
2021-06-01 17:47:01.269 +0300	TEVKIFAT	0	fields imported : 10
2021-06-01 17:47:01.269 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-06-01 17:50:38.354 +0300	ETRMUSAVIR.fmp12	0	Import operations committed
2021-06-01 17:50:38.355 +0300	ETRMUSAVIR.fmp12	0	==================================================================
2021-06-01 18:28:54.977 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-06-01 18:28:54.980 +0300	XMLSeparate	0	script steps imported : 11
2021-06-01 18:28:54.980 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-06-01 18:30:50.313 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-06-01 18:30:50.316 +0300	XMLSeparate	0	script steps imported : 1
