Timestamp	Filename	Error	Message
2022-02-07 17:48:13.624 +0300	ETRMUSAVIR_v0.6.fmp12	0	Table “KASACEKSENET” imported as “KASACEKSENET 2” since a table or table occurrence named “KASACEKSENET” already exists.
2022-02-07 17:48:13.654 +0300	KASACEKSENET 2	0	fields imported : 8
2022-02-07 17:48:13.655 +0300	ETRMUSAVIR_v0.6.fmp12	0	tables imported : 1
2022-02-07 17:48:13.656 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import completed
2022-02-07 17:49:36.400 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import of tables from clipboard started
2022-02-07 17:49:36.401 +0300	ETRMUSAVIR_v0.6.fmp12	0	Table “KASACEKSENET” imported as “KASACEKSENET 2” since a table or table occurrence named “KASACEKSENET” already exists.
2022-02-07 17:49:36.406 +0300	KASACEKSENET 2	0	fields imported : 8
2022-02-07 17:49:36.407 +0300	ETRMUSAVIR_v0.6.fmp12	0	tables imported : 1
2022-02-07 17:49:36.407 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import completed
2022-02-07 17:51:30.422 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import operations committed
2022-02-07 17:51:30.423 +0300	ETRMUSAVIR_v0.6.fmp12	0	==================================================================
2022-02-10 17:32:45.061 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import of script steps from clipboard started
2022-02-10 17:32:45.063 +0300	KapatmaIptal	0	script steps imported : 1
2022-02-10 17:32:45.063 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import completed
2022-02-10 17:32:52.443 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import of script steps from clipboard started
2022-02-10 17:32:52.444 +0300	KapatmaIptal	0	script steps imported : 1
2022-02-10 17:32:52.445 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import completed
2022-02-10 17:32:56.618 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import of script steps from clipboard started
2022-02-10 17:32:56.619 +0300	KapatmaIptal	0	script steps imported : 1
2022-02-10 17:32:56.619 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import completed
2022-02-10 17:32:59.186 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import of script steps from clipboard started
2022-02-10 17:32:59.187 +0300	KapatmaIptal	0	script steps imported : 1
2022-02-10 17:32:59.188 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import completed
2022-02-10 17:33:02.047 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import of script steps from clipboard started
2022-02-10 17:33:02.048 +0300	KapatmaIptal	0	script steps imported : 1
2022-02-10 17:33:02.048 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import completed
2022-02-11 13:32:35.308 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import of script steps from clipboard started
2022-02-11 13:32:35.308 +0300	Parametreİsmi Getir	0	script steps imported : 2
2022-02-11 13:32:35.308 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import completed
2022-02-11 15:27:17.505 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import of script steps from clipboard started
2022-02-11 15:27:17.506 +0300	PARAM_HESAP_KODU_AC	0	script steps imported : 2
2022-02-11 15:27:17.506 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import completed
2022-02-11 15:29:06.820 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import of script steps from clipboard started
2022-02-11 15:29:06.822 +0300	PARAM_HESAP_KODU_AC	0	script steps imported : 1
2022-02-11 15:29:06.822 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import completed
2022-02-11 15:29:07.997 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import of script steps from clipboard started
2022-02-11 15:29:07.998 +0300	PARAM_HESAP_KODU_AC	0	script steps imported : 1
2022-02-11 15:29:07.999 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import completed
2022-02-11 15:29:09.269 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import of script steps from clipboard started
2022-02-11 15:29:09.270 +0300	PARAM_HESAP_KODU_AC	0	script steps imported : 1
2022-02-11 15:29:09.271 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import completed
2022-02-11 15:29:11.364 +0300	ETRMUSAVIR_v0.6.fmp12	0	Import of script steps from clipboard started
2022-02-11 15:29:11.365 +0300	PARAM_HESAP_KODU_AC	0	script steps imported : 1
